Annual Financial Reports
YEAR                 MONTH                AMOUNT              
-----------------------------------------------------------
2020                 2                    7634.69             
2020                 3                    17925.29            
2020                 4                    41888.13            
2020                 5                    45142.38            
2020                 6                    61248.50            
2020                 7                    16975.45            
2020                 8                    -5066.76            
2020                 9                    -1806.79            
2020                 10                   -844.24             
2020                 11                   31880.40            
2020                 12                   8979.14             
2020                 0                    223956.19           
2021                 1                    41457.06            
2021                 2                    33327.22            
2021                 3                    21154.66            
2021                 4                    8854.77             
2021                 5                    12844.87            
2021                 6                    32034.89            
2021                 7                    28573.84            
2021                 8                    7115.15             
2021                 9                    44617.41            
2021                 10                   8244.16             
2021                 11                   59579.52            
2021                 12                   44315.14            
2021                 0                    342118.69           
2022                 1                    19350.82            
2022                 2                    -15788.57           
2022                 3                    38143.62            
2022                 4                    -5556.97            
2022                 5                    7689.53             
2022                 6                    86665.05            
2022                 7                    26847.04            
2022                 8                    12971.35            
2022                 9                    -19265.69           
2022                 10                   49134.75            
2022                 11                   68990.93            
2022                 12                   66514.23            
2022                 0                    335696.09           
2023                 1                    42423.69            
2023                 2                    49773.51            
2023                 3                    -717.91             
2023                 4                    37244.57            
2023                 5                    26729.70            
2023                 6                    4456.70             
2023                 7                    16107.44            
2023                 8                    24458.20            
2023                 9                    44909.91            
2023                 10                   -2415.00            
2023                 11                   14784.52            
2023                 12                   37977.27            
2023                 0                    295732.60           
0                    0                    1197503.57          
-----------------------------------------------------------
Annual Financial Reports
YEAR                 MONTH                AMOUNT              
-----------------------------------------------------------
2020                 2                    17829.58            
2020                 3                    32190.17            
2020                 4                    50957.20            
2020                 5                    49386.95            
2020                 6                    71552.81            
2020                 7                    22451.33            
2020                 8                    22937.98            
2020                 10                   9666.79             
2020                 11                   42623.66            
2020                 12                   28922.73            
2020                 0                    348519.20           
2021                 1                    52322.09            
2021                 2                    40352.13            
2021                 3                    36072.17            
2021                 4                    18175.34            
2021                 5                    33793.22            
2021                 6                    37413.63            
2021                 7                    34088.14            
2021                 8                    23714.46            
2021                 9                    57043.65            
2021                 10                   14418.76            
2021                 11                   65387.10            
2021                 12                   53623.78            
2021                 0                    466404.47           
2022                 1                    29387.98            
2022                 3                    43183.25            
2022                 4                    6009.00             
2022                 5                    7689.53             
2022                 6                    86665.05            
2022                 7                    49680.85            
2022                 8                    21959.47            
2022                 9                    5040.78             
2022                 10                   53767.28            
2022                 11                   76029.21            
2022                 12                   89794.09            
2022                 0                    469206.49           
2023                 1                    61373.76            
2023                 2                    53188.81            
2023                 3                    11703.63            
2023                 4                    38707.41            
2023                 5                    28608.48            
2023                 6                    9275.83             
2023                 7                    20535.05            
2023                 8                    39811.37            
2023                 9                    61712.95            
2023                 10                   9111.94             
2023                 11                   16094.42            
2023                 12                   39677.27            
2023                 0                    389800.92           
0                    0                    1673931.08          
-----------------------------------------------------------
Annual Financial Reports
YEAR                 MONTH                AMOUNT              
-----------------------------------------------------------
2020                 2                    -10194.89           
2020                 3                    -14264.88           
2020                 4                    -9069.07            
2020                 5                    -4244.57            
2020                 6                    -10304.31           
2020                 7                    -5475.88            
2020                 8                    -28004.74           
2020                 9                    -1806.79            
2020                 10                   -10511.03           
2020                 11                   -10743.26           
2020                 12                   -19943.59           
2020                 0                    -124563.01          
2021                 1                    -10865.03           
2021                 2                    -7024.91            
2021                 3                    -14917.51           
2021                 4                    -9320.57            
2021                 5                    -20948.35           
2021                 6                    -5378.74            
2021                 7                    -5514.30            
2021                 8                    -16599.31           
2021                 9                    -12426.24           
2021                 10                   -6174.60            
2021                 11                   -5807.58            
2021                 12                   -9308.64            
2021                 0                    -124285.78          
2022                 1                    -10037.16           
2022                 2                    -15788.57           
2022                 3                    -5039.63            
2022                 4                    -11565.97           
2022                 7                    -22833.81           
2022                 8                    -8988.12            
2022                 9                    -24306.47           
2022                 10                   -4632.53            
2022                 11                   -7038.28            
2022                 12                   -23279.86           
2022                 0                    -133510.40          
2023                 1                    -18950.07           
2023                 2                    -3415.30            
2023                 3                    -12421.54           
2023                 4                    -1462.84            
2023                 5                    -1878.78            
2023                 6                    -4819.13            
2023                 7                    -4427.61            
2023                 8                    -15353.17           
2023                 9                    -16803.04           
2023                 10                   -11526.94           
2023                 11                   -1309.90            
2023                 12                   -1700.00            
2023                 0                    -94068.32           
0                    0                    -476427.51          
-----------------------------------------------------------
